Time [s],Value,Parity Error,Framing Error
1.212863900000000,'0' (0x00),,Error
1.221992300000000,'0' (0x00),,Error
1.697841500000000,'0' (0x00),,Error
2.360176900000000,'170' (0xAA),,
2.360264100000000,'5' (0x05),,
2.360351400000000,'1' (0x01),,
2.360438700000000,'1' (0x01),,
2.360525900000000,'1' (0x01),,
2.360613200000000,'1' (0x01),,
2.360700400000000,'161' (0xA1),,
2.360787700000000,Z (0x5A),,
2.360875000000000,'172' (0xAC),,
2.465709800000000,\r (0x0D),,
2.465797100000000,'161' (0xA1),,
2.465884300000000,F (0x46),,
2.465971500000000,0 (0x30),,
2.466058800000000,_ (0x5F),,
2.466146000000000,F (0x46),,
2.466233300000000,a (0x61),,
2.466320500000000,s (0x73),,
2.466407800000000,t (0x74),,
2.466495000000000,W (0x57),,
2.466582200000000,h (0x68),,
2.466669500000000,e (0x65),,
2.466756700000000,e (0x65),,
2.466844000000000,l (0x6C),,
2.466931200000000,I (0x49),,
2.467018500000000,E (0x45),,
2.467105800000000,S (0x53),,
2.467193000000000,0 (0x30),,
2.467280200000000,4 (0x34),,
2.467367500000000,0 (0x30),,
2.467454700000000,I (0x49),,
2.467542000000000,E (0x45),,
2.467629200000000,S (0x53),,
2.467716500000000,0 (0x30),,
2.467803700000000,4 (0x34),,
2.467891000000000,6 (0x36),,
2.467978200000000,'0' (0x00),,
2.468065400000000,'7' (0x07),,
2.468152700000000,'233' (0xE9),,
2.468239900000000,\n (0x0A),,
2.565141900000000,\r (0x0D),,
2.565229200000000,0 (0x30),,
2.565316500000000,0 (0x30),,
2.565403700000000,0 (0x30),,
2.565491000000000,0 (0x30),,
2.565578300000000,0 (0x30),,
2.565665500000000,0 (0x30),,
2.565752800000000,0 (0x30),,
2.565840000000000,0 (0x30),,
2.565927300000000,0 (0x30),,
2.566014600000000,0 (0x30),,
2.566101800000000,6 (0x36),,
2.566189100000000,0 (0x30),,
2.566276300000000,6 (0x36),,
2.566363600000000,8 (0x38),,
2.566450800000000,0 (0x30),,
2.566538100000000,0 (0x30),,
2.566625400000000,0 (0x30),,
2.566712600000000,0 (0x30),,
2.566799900000000,0 (0x30),,
2.566887100000000,0 (0x30),,
2.566974400000000,0 (0x30),,
2.567061600000000,0 (0x30),,
2.567148900000000,0 (0x30),,
2.567236100000000,0 (0x30),,
2.567323400000000,0 (0x30),,
2.567410600000000,0 (0x30),,
2.567497900000000,0 (0x30),,
2.567585100000000,0 (0x30),,
2.567672400000000,0 (0x30),,
2.567759600000000,0 (0x30),,
2.567846900000000,0 (0x30),,
2.567934100000000,0 (0x30),,
2.568021400000000,0 (0x30),,
2.568108600000000,0 (0x30),,
2.568195800000000,0 (0x30),,
2.568283100000000,0 (0x30),,
2.568370300000000,'6' (0x06),,
2.568457600000000,'212' (0xD4),,
2.568544800000000,\n (0x0A),,
2.664571200000000,\r (0x0D),,
2.664658400000000,0 (0x30),,
2.664745700000000,0 (0x30),,
2.664832900000000,0 (0x30),,
2.664920200000000,0 (0x30),,
2.665007400000000,0 (0x30),,
2.665094700000000,0 (0x30),,
2.665181900000000,0 (0x30),,
2.665269100000000,0 (0x30),,
2.665356400000000,0 (0x30),,
2.665443600000000,0 (0x30),,
2.665530900000000,6 (0x36),,
2.665618100000000,0 (0x30),,
2.665705400000000,6 (0x36),,
2.665792600000000,8 (0x38),,
2.665879900000000,0 (0x30),,
2.665967100000000,0 (0x30),,
2.666054300000000,0 (0x30),,
2.666141600000000,0 (0x30),,
2.666228800000000,0 (0x30),,
2.666316100000000,0 (0x30),,
2.666403300000000,0 (0x30),,
2.666490600000000,0 (0x30),,
2.666577800000000,0 (0x30),,
2.666665000000000,0 (0x30),,
2.666752300000000,0 (0x30),,
2.666839500000000,0 (0x30),,
2.666926800000000,0 (0x30),,
2.667014000000000,0 (0x30),,
2.667101200000000,0 (0x30),,
2.667188500000000,0 (0x30),,
2.667275700000000,0 (0x30),,
2.667363000000000,0 (0x30),,
2.667450200000000,0 (0x30),,
2.667537500000000,0 (0x30),,
2.667624700000000,0 (0x30),,
2.667712000000000,0 (0x30),,
2.667799200000000,'6' (0x06),,
2.667886400000000,'212' (0xD4),,
2.667973700000000,\n (0x0A),,
2.764006000000000,\r (0x0D),,
2.764093300000000,0 (0x30),,
2.764180500000000,0 (0x30),,
2.764267800000000,0 (0x30),,
2.764355000000000,0 (0x30),,
2.764442300000000,0 (0x30),,
2.764529500000000,0 (0x30),,
2.764616800000000,0 (0x30),,
2.764704000000000,0 (0x30),,
2.764791300000000,0 (0x30),,
2.764878500000000,0 (0x30),,
2.764965800000000,6 (0x36),,
2.765053000000000,0 (0x30),,
2.765140300000000,6 (0x36),,
2.765227500000000,8 (0x38),,
2.765314800000000,0 (0x30),,
2.765402000000000,0 (0x30),,
2.765489300000000,0 (0x30),,
2.765576500000000,0 (0x30),,
2.765663800000000,0 (0x30),,
2.765751000000000,0 (0x30),,
2.765838300000000,0 (0x30),,
2.765925500000000,0 (0x30),,
2.766012800000000,0 (0x30),,
2.766100000000000,0 (0x30),,
2.766187300000000,0 (0x30),,
2.766274500000000,0 (0x30),,
2.766361800000000,0 (0x30),,
2.766449000000000,0 (0x30),,
2.766536200000000,0 (0x30),,
2.766623500000000,0 (0x30),,
2.766710700000000,0 (0x30),,
2.766798000000000,0 (0x30),,
2.766885200000000,0 (0x30),,
2.766972500000000,0 (0x30),,
2.767059700000000,0 (0x30),,
2.767147000000000,0 (0x30),,
2.767234200000000,'6' (0x06),,
2.767321500000000,'212' (0xD4),,
2.767408700000000,\n (0x0A),,
2.866411900000000,\r (0x0D),,
2.866499100000000,0 (0x30),,
2.866586400000000,0 (0x30),,
2.866673600000000,0 (0x30),,
2.866760900000000,0 (0x30),,
2.866848200000000,0 (0x30),,
2.866935400000000,0 (0x30),,
2.867022700000000,0 (0x30),,
2.867109900000000,0 (0x30),,
2.867197200000000,0 (0x30),,
2.867284400000000,0 (0x30),,
2.867371700000000,6 (0x36),,
2.867458900000000,0 (0x30),,
2.867546200000000,6 (0x36),,
2.867633400000000,8 (0x38),,
2.867720700000000,0 (0x30),,
2.867807900000000,0 (0x30),,
2.867895200000000,0 (0x30),,
2.867982400000000,0 (0x30),,
2.868069700000000,0 (0x30),,
2.868156900000000,0 (0x30),,
2.868244200000000,0 (0x30),,
